"Fitness", "Individual", "Variable", "Value"
0.9851146746702375, 41, Dwelling, 0.6839182932898206
0.9383027630152276, 42, Population, 0.1665909801297355
0.9383027630152276, 42, Renovation Cycle, 0.8507693015053225
0.9383027630152276, 42, Energy Intensity, 0.7493162185121448
0.9383027630152276, 42, Typesplit and Splitshare, 0.8213487806803522
0.9383027630152276, 42, Dwelling, 0.799859803090195
0.9331320602349159, 43, Population, 0.2852208051190225
0.9331320602349159, 43, Renovation Cycle, 0.22869161655471493
0.9331320602349159, 43, Energy Intensity, 0.6074864675341641
0.9331320602349159, 43, Typesplit and Splitshare, 0.8713811570460855
0.9331320602349159, 43, Dwelling, 0.6578891769392169
0.8606272353901903, 44, Population, 0.3587100009788371
0.8606272353901903, 44, Renovation Cycle, 0.4681805545148736
0.8606272353901903, 44, Energy Intensity, 0.1391570737542419
0.8606272353901903, 44, Typesplit and Splitshare, 0.8778109497091706
0.8606272353901903, 44, Dwelling, 0.9723600807595727
0.8246072312702735, 45, Population, 0.06525200764361694
0.8246072312702735, 45, Renovation Cycle, 0.1876975457523844
0.8246072312702735, 45, Energy Intensity, 0.767958472346549
0.8246072312702735, 45, Typesplit and Splitshare, 0.8057963307438464
0.8246072312702735, 45, Dwelling, 0.8545241822068449
0.8235354924904814, 46, Population, 0.04599830069416577
0.8235354924904814, 46, Renovation Cycle, 0.9684716665898824
0.8235354924904814, 46, Energy Intensity, 0.7757378404884848
0.8235354924904814, 46, Typesplit and Splitshare, 0.8106657609669908
0.8235354924904814, 46, Dwelling, 0.7206665970378321
0.7938080554840281, 47, Population, 0.4977265652268401
0.7938080554840281, 47, Renovation Cycle, 0.8878796463931837
0.7938080554840281, 47, Energy Intensity, 0.27910525597170877
0.7938080554840281, 47, Typesplit and Splitshare, 0.9063718301829401
0.7938080554840281, 47, Dwelling, 0.2324477529608483
0.747350705215865, 48, Population, 0.17154811597098107
0.747350705215865, 48, Renovation Cycle, 0.7091112790937086
0.747350705215865, 48, Energy Intensity, 0.4238781416872428
0.747350705215865, 48, Typesplit and Splitshare, 0.7559876035226527
0.747350705215865, 48, Dwelling, 0.9827091143818012
0.7049530197656312, 49, Population, 0.21072247317667325
0.7049530197656312, 49, Renovation Cycle, 0.03534488781930756
0.7049530197656312, 49, Energy Intensity, 0.0769655785342711
0.7049530197656312, 49, Typesplit and Splitshare, 0.7750132196635411
0.7049530197656312, 49, Dwelling, 0.4703997879566846
0.7035325962202964, 50, Population, 0.6074801389882921
0.7035325962202964, 50, Renovation Cycle, 0.06716189613598433
0.7035325962202964, 50, Energy Intensity, 0.9514970030250249
0.7035325962202964, 50, Typesplit and Splitshare, 0.9380434537029887
0.7035325962202964, 50, Dwelling, 0.5140416987307922
0.7015540107045966, 51, Population, 0.9349356531409276
0.7015540107045966, 51, Renovation Cycle, 0.6441005258276526
0.7015540107045966, 51, Energy Intensity, 0.42606142358882004
0.7015540107045966, 51, Typesplit and Splitshare, 0.9660736455025857
0.7015540107045966, 51, Dwelling, 0.1967399108371779
0.6985616903647021, 52, Population, 0.14771044500103347
0.6985616903647021, 52, Renovation Cycle, 0.7915005355124171
0.6985616903647021, 52, Energy Intensity, 0.09058674382417808
0.6985616903647021, 52, Typesplit and Splitshare, 0.7404769486023193
0.6985616903647021, 52, Dwelling, 0.8251703798041261
0.6945831878785833, 53, Population, 0.7033135826881124
0.6945831878785833, 53, Renovation Cycle, 0.14332549519127735
0.6945831878785833, 53, Energy Intensity, 0.6532708714809413
0.6945831878785833, 53, Typesplit and Splitshare, 0.9453249926881877
0.6945831878785833, 53, Dwelling, 0.5267023121151408
0.6876717070776381, 54, Population, 0.226608165637886
0.6876717070776381, 54, Renovation Cycle, 0.4713137298500003
0.6876717070776381, 54, Energy Intensity, 0.10271050483763966
0.6876717070776381, 54, Typesplit and Splitshare, 0.7730415136673418
0.6876717070776381, 54, Dwelling, 0.0043035613049328125
0.674671489287634, 55, Population, 0.019057336461176355
0.674671489287634, 55, Renovation Cycle, 0.5005851293396825
0.674671489287634, 55, Energy Intensity, 0.820520661749472
0.674671489287634, 55, Typesplit and Splitshare, 0.745857712239645
0.674671489287634, 55, Dwelling, 0.2966907985251863
0.6568004224643659, 56, Population, 0.3608187244547465
0.6568004224643659, 56, Renovation Cycle, 0.7588844440967732
0.6568004224643659, 56, Energy Intensity, 0.09097987040988642
0.6568004224643659, 56, Typesplit and Splitshare, 0.8392505875798852
0.6568004224643659, 56, Dwelling, 0.7231673368526466
0.6454911330702995, 57, Population, 0.01594185589963104
0.6454911330702995, 57, Renovation Cycle, 0.8790326623149936
0.6454911330702995, 57, Energy Intensity, 0.01832524396747026
0.6454911330702995, 57, Typesplit and Splitshare, 0.725401002961945
0.6454911330702995, 57, Dwelling, 0.31591070595134607
0.6386228509444422, 58, Population, 0.4150465562479797
